PlayerId|Position|Player|Salary
159|PF/C|Jason Smith|2861.96250992827
160|SF|Darius Miller|3627.85300115744
161|PG|Brian Roberts|2745.28826745227
162|C|Bernard James|NA
163|PG|Dominique Jones|NA
164|SG|Jared Cunningham|NA
165|PF|Marvin Williams|4536.71946465835
166|PF|Paul Millsap|7418.43679164711
167|PF/C|Al Jefferson|3172.74641566782
168|SF|Gordon Hayward|7214.01697413832
169|SG/PG|Mo Williams|NA
170|PG|Jamaal Tinsley|NA
171|PF|Derrick Favors|5385.12402908163
172|PG/SG|Randy Foye|3251.83764793269
173|C|Enes Kanter|6005.6337360241
174|SF|DeMarre Carroll|5016.63709186308
175|SG|Kevin Murphy|NA
176|SG|Alec Burks|3462.41594219891
177|SF|Jeremy Evans|NA
178|SF|Harrison Barnes|5677.03326223995
179|SF/PF|David Lee|4219.39580649425
180|PF/C|Andrew Bogut|3696.61554293688
181|SG|Klay Thompson|7255.74796664057
182|PG|Stephen Curry|9711.42179244799
183|C|Festus Ezeli|NA
184|SG|Brandon Rush|2909.67829380422
185|SG/PG|Jarrett Jack|4356.88189195469
186|PF|Carl Landry|NA
187|SF|Richard Jefferson|2860.46639156922
188|SF/PF|Draymond Green|8119.81955282631
189|PF/F/SF|Michael Beasley|4399.55951811497
190|PF|Luis Scola|2788.35193855688
191|C|Marcin Gortat|4959.43818474188
192|PF/SG|Jared Dudley|3659.79962712228
193|PG/SG|Goran Dragic|7633.79908768206
194|PF|Markieff Morris|5346.04287479021
195|C|Jermaine O'Neal|NA
196|SG|Shannon Brown|NA
197|PG|Sebastian Telfair|NA
198|SF|PJ Tucker|3557.79520076678
199|SF|Rudy Gay|5807.86589704454
200|PF|Zach Randolph|6141.84347135169
201|C|Marc Gasol|7012.68556420262
202|SG|Tony Allen|4397.61401284366
203|PG|Mike Conley|7730.86118293211
204|PG|Jerryd Bayless|3568.27174997889
205|C/PF|Marreese Speights|3210.55339939253
206|SG|Wayne Ellington|4023.23070413971
207|SF/SG|Quincy Pondexter|3170.57973207298
208|SF|Caron Butler|NA
209|PF|Blake Griffin|8188.87254382941
210|C|DeAndre Jordan|7316.72331257154
211|SG|Willie Green|NA
212|PG|Chris Paul|8619.01902074901
213|C|Ryan Hollins|NA
214|PG/SG|Jamal Crawford|4295.38238686086
215|PG|Eric Bledsoe|7860.95297896159
216|C|Ronny Turiaf|NA
217|SF|Lamar Odom|NA
218|SG|Devin Ebanks|NA
219|PG|Chris Duhon|NA
220|C|Robert Sacre|NA
221|SF/SG|Nicolas Batum|6762.10016770739
222|C/PF|LaMarcus Aldridge|6577.81226193266
223|C|JJ Hickson|NA
224|SG|Wesley Matthews|4557.7847155891
225|PG|Damian Lillard|9324.62472638321
226|PG|Nolan Smith|NA
227|SF|Sasha Pavlovic|NA
228|C/PF|Meyers Leonard|3018.75493412847
229|SF|Jared Jeffries|NA
230|PF|Serge Ibaka|5193.08571490414
231|SG/SF|Kevin Durant|9284.43204211959
232|C|Kendrick Perkins|NA
233|SG/SF|Thabo Sefolosha|3920.3494391469
234|PG|Russell Westbrook|11110.2992083806
235|C/PF|Nick Collison|3106.83332900517
236|PG/SG|Kevin Martin|NA
237|C|Hasheem Thabeet|NA
238|PG|Eric Maynor|NA
239|PG|Reggie Jackson|5221.81379080218
240|PF|DeJuan Blair|NA
241|SF|Michael Kidd-Gilchrist|4749.35181511049
242|PF|Byron Mullens|NA
243|C|Brendan Haywood|NA
244|SG|Gerald Henderson|3279.27022151235
245|PG|Kemba Walker|8187.40905660098
246|PF|Tyrus Thomas|NA
247|C|Bismack Biyombo|4320.04646794781
248|PG|Ramon Sessions|3384.26856775295
249|SG|Ben Gordon|NA
250|SF/F|Reggie Williams|2706.60562575795
251|SG/SF|Danilo Gallinari|5619.37531999638
252|SF|Hedo Turkoglu|NA
253|C/PF|Glen Davis|NA
254|C|Nikola Vucevic|6309.73089842656
255|SG|Arron Afflalo|3487.54708720086
256|PG|Jameer Nelson|4151.39603855196
257|SG|JJ Redick|4902.30322026374
258|PF|Josh McRoberts|3245.74853389058
259|PG/SG|E'Twaun Moore|4057.42079245666
260|PG|Ish Smith|4123.54396739581
261|PF|Andrew Nicholson|3034.94671994146
262|C/PF|Kyle O'Quinn|3813.53638223379
263|SF/PF|Tobias Harris|6617.19101582851
264|PG|Luke Ridnour|NA
265|PG|Ricky Rubio|6056.57979841467
266|C|Greg Stiemsma|NA
267|SF|Chase Budinger|NA
268|PG|Jose Juan Barea|NA
269|SG|Alexey Shved|NA
270|PF/SF|Dante Cunningham|3146.01342242215
271|SF|Mickael Gelabale|NA
272|C/SF|Chris Johnson|NA
273|SG/SF|Wesley Johnson|3156.02857575525
274|C|Hamed Haddadi|NA
275|PG|Kendall Marshall|NA
276|PG|Diante Garrett|NA
277|PF/C|Nene|3703.77538067539
278|C|Jason Collins|NA
279|SG|Garrett Temple|4003.12731187276
280|PG|John Wall|9524.53377488535
281|PF/C|Kevin Seraphin|2970.59566631193
282|SF|Cartier Martin|NA
283|PF|Earl Clark|NA
284|SG/PF|Khris Middleton|6619.5323028184
285|PF|Charlie Villanueva|NA
286|SG|Lou Williams|6375.02434205708
287|SG|John Jenkins|2981.65062186308
288|PG|Shelvin Mack|3776.88081997791
289|PF|Mike Scott|3178.59675459976
290|PF|Pero Antic|NA
291|SF/PF|Josh Smith|2915.21756043658
292|SG|Kentavious Caldwell-Pope|4943.07852819139
293|PG|Brandon Jennings|3603.0347251369
294|SG|Chauncey Billups|NA
295|PF|Josh Harrellson|NA
